id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,item_group_id,color,size,identifier_exists
001,Funda de cuero gamuza Zeluga de 10 bolsillos con porta-martillo,"🧰 Funda de cuero gamuza Zeluga — todo tu herramental a la mano

Fabricada en cuero gamuza grueso color café, con 10 bolsillos de distintos tamaños para clavos, tornillos, cinta métrica y herramienta de mano. Incluye dos ganchos metálicos reforzados para colgar martillo o pinzas.

✅ Cuero gamuza de uso rudo
✅ 10 bolsillos organizadores
✅ Doble porta-martillo metálico
✅ Costuras y remaches reforzados
✅ Ideal para carpinteros, albañiles y contratistas

Se adapta a cualquier cinturón de trabajo estándar. 💪",in stock,new,37.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/001.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/1.1.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/1.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/1.3.jpg",Forza WorkGear,,,,no
002,Malla de seguridad naranja Zeluga de uso rudo 12 mil 220 GSM,"🏗️ Malla de seguridad naranja Zeluga — protege tu obra y a tu gente

Tejido de uso rudo de 12 mil de grosor y 220 GSM que deja pasar el aire pero detiene el escombro. Tratada contra rayos UV para que no se cristalice al sol y con ojales de bronce anticorrosivo en todo el perímetro.

✅ 12 mil de grosor y 220 GSM
✅ Tratada contra rayos UV
✅ Resistente al agua
✅ Ojales de bronce anticorrosivo
✅ Costura perimetral reforzada

Perfecta para cubrir andamio, contener escombro y dar sombra en obra. 💪",in stock,new,130.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/002.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/4.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/4.1.jpg,Forza WorkGear,,,,no
006,Funda de cuero café Zeluga con porta cinta métrica,"🧰 Funda de cuero café Zeluga — la herramienta que usas siempre, siempre a la mano

Cuero genuino color café oscuro con tapa protectora, varios bolsillos y divisiones para desarmadores, pinzas y navaja. Trae porta cinta métrica de acero y gancho giratorio para colgar herramienta pesada.

✅ Cuero genuino de uso rudo
✅ Tapa protectora
✅ Porta cinta métrica de acero
✅ Gancho giratorio reforzado
✅ Presilla para cualquier cinturón

Ideal para electricistas y técnicos de mantenimiento. 💪",in stock,new,50.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/006.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/12.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/12.1.jpg,Forza WorkGear,,,,no
007-vino,"Rodilleras de cuero Zeluga forradas en borrega, color vino","🦵 Rodilleras de cuero Zeluga en vino — trabaja hincado todo el día sin sufrir

Cuero genuino color vino por fuera y forro de borrega por dentro, con dos correas de cuero y hebilla de metal que se ajustan a tu pierna y no se aflojan al moverte. Copete de cuero reforzado con remaches para aguantar concreto, madera y teja.

✅ Cuero genuino de uso rudo
✅ Forro interior de borrega
✅ Dos correas ajustables con hebilla
✅ Copete reforzado con remaches
✅ No se resbalan al caminar hincado

Presentación en cuero vino. Para instaladores de piso, plomeros y techadores. 💪",in stock,new,45.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/007.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.2.jpg,Forza WorkGear,007,Vino,,no
007-negro,"Rodilleras de cuero Zeluga forradas en borrega, color negro","🦵 Rodilleras de cuero Zeluga en negro — trabaja hincado todo el día sin sufrir

Cuero genuino negro por fuera y forro de borrega por dentro, con dos correas de cuero y hebilla de metal que se ajustan a tu pierna y no se aflojan al moverte. Copete de cuero reforzado con remaches para aguantar concreto, madera y teja.

✅ Cuero genuino de uso rudo
✅ Forro interior de borrega
✅ Dos correas ajustables con hebilla
✅ Copete reforzado con remaches
✅ No se resbalan al caminar hincado

Presentación en cuero negro. Para instaladores de piso, plomeros y techadores. 💪",in stock,new,45.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/007.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.3.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.1.jpg,Forza WorkGear,007,Negro,,no
007-natural,"Rodilleras de cuero Zeluga forradas en borrega, color natural","🦵 Rodilleras de cuero Zeluga en natural — trabaja hincado todo el día sin sufrir

Cuero natural sin teñir por fuera y forro de borrega por dentro, con correas de cuero y hebilla de metal que se ajustan a tu pierna. Copete de cuero reforzado con remaches para aguantar concreto, madera y teja.

✅ Cuero natural de uso rudo
✅ Forro interior de borrega
✅ Correas ajustables con hebilla
✅ Copete reforzado con remaches
✅ No se resbalan al caminar hincado

Presentación en cuero natural, que se oscurece bonito con el uso. 💪",in stock,new,45.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/007.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.4.jpg,,Forza WorkGear,007,Natural,,no
008-050,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,5,no
008-055,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 5.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,5.5,no
008-060,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 6","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,6,no
008-065,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 6.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,6.5,no
