id,producto_base,foto_principal,fotos_adicionales,image_link,additional_image_link,title,description,price,link,brand,availability,condition,item_group_id,color,size
001,1,1.1.jpg,"1.2.jpg, 1.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/1.1.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/1.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/1.3.jpg",Funda de cuero gamuza Zeluga de 10 bolsillos con porta-martillo,"🧰 Funda de cuero gamuza Zeluga — todo tu herramental a la mano

Fabricada en cuero gamuza grueso color café, con 10 bolsillos de distintos tamaños para clavos, tornillos, cinta métrica y herramienta de mano. Incluye dos ganchos metálicos reforzados para colgar martillo o pinzas.

✅ Cuero gamuza de uso rudo
✅ 10 bolsillos organizadores
✅ Doble porta-martillo metálico
✅ Costuras y remaches reforzados
✅ Ideal para carpinteros, albañiles y contratistas

Se adapta a cualquier cinturón de trabajo estándar. 💪",37.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/001.html,Forza WorkGear,in stock,new,,,
002,4,4.jpg,4.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/4.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/4.1.jpg,Malla de seguridad naranja Zeluga de uso rudo 12 mil 220 GSM,"🏗️ Malla de seguridad naranja Zeluga — protege tu obra y a tu gente

Tejido de uso rudo de 12 mil de grosor y 220 GSM que deja pasar el aire pero detiene el escombro. Tratada contra rayos UV para que no se cristalice al sol y con ojales de bronce anticorrosivo en todo el perímetro.

✅ 12 mil de grosor y 220 GSM
✅ Tratada contra rayos UV
✅ Resistente al agua
✅ Ojales de bronce anticorrosivo
✅ Costura perimetral reforzada

Perfecta para cubrir andamio, contener escombro y dar sombra en obra. 💪",130.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/002.html,Forza WorkGear,in stock,new,,,
003,5,5.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/5.jpg,,Lona de polietileno naranja Zeluga 20 x 30 pies 12 mil 220 GSM,"🏗️ Lona de polietileno naranja Zeluga 20 x 30 pies — cubre y protege sin pretextos

Polietileno de 12 mil de grosor y 220 GSM, 100% impermeable y tratado contra rayos UV. Dobladillo reforzado y ojales de bronce anticorrosivo cada pocos pies para amarrar sin que se rasgue.

✅ Medida 20 x 30 pies
✅ 12 mil de grosor y 220 GSM
✅ 100% impermeable
✅ Tratada contra rayos UV
✅ Ojales de bronce anticorrosivo

Ideal para proteger material, equipo, techos y remolques. 💪",150.00 USD,,Forza WorkGear,in stock,new,,,
004,6,6.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/6.jpg,,Lona de polietileno naranja Zeluga 20 x 20 pies 12 mil 220 GSM,"🏗️ Lona de polietileno naranja Zeluga 20 x 20 pies — la medida más práctica

Polietileno de 12 mil de grosor y 220 GSM, impermeable y tratado contra rayos UV. Dobladillo reforzado y ojales de bronce anticorrosivo para amarrar firme y aguantar viento.

✅ Medida 20 x 20 pies
✅ 12 mil de grosor y 220 GSM
✅ 100% impermeable
✅ Tratada contra rayos UV
✅ Ojales de bronce anticorrosivo

Perfecta para cubrir carga, material de obra y equipo. 💪",135.00 USD,,Forza WorkGear,in stock,new,,,
005,9,9.jpg,9.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/9.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/9.1.jpg,Lona de malla naranja Zeluga 20 x 30 pies 12 mil 220 GSM,"🏗️ Lona de malla naranja Zeluga 20 x 30 pies — sombra y seguridad en una sola pieza

Modelo 24-551-2030 en tejido de 12 mil y 220 GSM. La malla deja pasar el aire, así que no hace vela con el viento como una lona sólida, y aguanta sol y lluvia sin cristalizarse.

✅ Medida 20 x 30 pies
✅ 12 mil de grosor y 220 GSM
✅ Tratada contra rayos UV
✅ Resistente al agua
✅ Ojales de bronce anticorrosivo

Sirve como cubierta de obra, sombra de campamento y malla contra escombro. 💪",145.00 USD,,Forza WorkGear,in stock,new,,,
006,12,12.jpg,12.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/12.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/12.1.jpg,Funda de cuero café Zeluga con porta cinta métrica,"🧰 Funda de cuero café Zeluga — la herramienta que usas siempre, siempre a la mano

Cuero genuino color café oscuro con tapa protectora, varios bolsillos y divisiones para desarmadores, pinzas y navaja. Trae porta cinta métrica de acero y gancho giratorio para colgar herramienta pesada.

✅ Cuero genuino de uso rudo
✅ Tapa protectora
✅ Porta cinta métrica de acero
✅ Gancho giratorio reforzado
✅ Presilla para cualquier cinturón

Ideal para electricistas y técnicos de mantenimiento. 💪",50.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/006.html,Forza WorkGear,in stock,new,,,
007-vino,13,13.jpg,13.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.2.jpg,"Rodilleras de cuero Zeluga forradas en borrega, color vino","🦵 Rodilleras de cuero Zeluga en vino — trabaja hincado todo el día sin sufrir

Cuero genuino color vino por fuera y forro de borrega por dentro, con dos correas de cuero y hebilla de metal que se ajustan a tu pierna y no se aflojan al moverte. Copete de cuero reforzado con remaches para aguantar concreto, madera y teja.

✅ Cuero genuino de uso rudo
✅ Forro interior de borrega
✅ Dos correas ajustables con hebilla
✅ Copete reforzado con remaches
✅ No se resbalan al caminar hincado

Presentación en cuero vino. Para instaladores de piso, plomeros y techadores. 💪",45.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/007.html,Forza WorkGear,in stock,new,007,Vino,
007-negro,13,13.3.jpg,13.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.3.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.1.jpg,"Rodilleras de cuero Zeluga forradas en borrega, color negro","🦵 Rodilleras de cuero Zeluga en negro — trabaja hincado todo el día sin sufrir

Cuero genuino negro por fuera y forro de borrega por dentro, con dos correas de cuero y hebilla de metal que se ajustan a tu pierna y no se aflojan al moverte. Copete de cuero reforzado con remaches para aguantar concreto, madera y teja.

✅ Cuero genuino de uso rudo
✅ Forro interior de borrega
✅ Dos correas ajustables con hebilla
✅ Copete reforzado con remaches
✅ No se resbalan al caminar hincado

Presentación en cuero negro. Para instaladores de piso, plomeros y techadores. 💪",45.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/007.html,Forza WorkGear,in stock,new,007,Negro,
007-natural,13,13.4.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.4.jpg,,"Rodilleras de cuero Zeluga forradas en borrega, color natural","🦵 Rodilleras de cuero Zeluga en natural — trabaja hincado todo el día sin sufrir

Cuero natural sin teñir por fuera y forro de borrega por dentro, con correas de cuero y hebilla de metal que se ajustan a tu pierna. Copete de cuero reforzado con remaches para aguantar concreto, madera y teja.

✅ Cuero natural de uso rudo
✅ Forro interior de borrega
✅ Correas ajustables con hebilla
✅ Copete reforzado con remaches
✅ No se resbalan al caminar hincado

Presentación en cuero natural, que se oscurece bonito con el uso. 💪",45.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/007.html,Forza WorkGear,in stock,new,007,Natural,
008-050,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,5
